inicio,fin,evento_duracion,max_global,max_global_fecha,max_global_duracion,max_local,max_local_fecha,max_local_duracion
2021-06-06 00:20:00,2021-06-06 05:40:00,320.0,1.6081,2021-06-06 00:40:00,20.0,,,
2021-06-09 12:10:00,2021-06-09 14:20:00,130.0,0.8706,2021-06-09 12:20:00,10.0,,,
2021-06-10 00:40:00,2021-06-10 03:50:00,190.0,1.0389,2021-06-10 01:20:00,40.0,,,
2021-06-19 02:30:00,2021-06-19 07:30:00,300.0,0.5053,2021-06-19 02:40:00,10.0,,,
2021-07-15 02:50:00,2021-07-15 12:30:00,580.0,1.2547,2021-07-15 05:10:00,140.0,1.2299,2021-07-15 03:30:00,40.0
2021-07-27 01:10:00,2021-07-27 02:50:00,100.0,0.4406,2021-07-27 01:20:00,10.0,,,
2021-08-25 01:40:00,2021-08-25 03:10:00,90.0,0.5228,2021-08-25 01:50:00,10.0,,,
2021-09-08 10:00:00,2021-09-08 13:10:00,190.0,0.6944,2021-09-08 10:20:00,20.0,,,
2021-09-13 22:10:00,2021-09-14 04:10:00,360.0,0.8382,2021-09-13 23:10:00,60.0,,,
2021-09-14 06:20:00,2021-09-14 08:30:00,130.0,0.4048,2021-09-14 07:30:00,70.0,,,
2021-10-01 02:50:00,2021-10-01 05:40:00,170.0,0.5424,2021-10-01 04:20:00,90.0,,,
2021-10-01 23:40:00,2021-10-02 01:30:00,110.0,0.62,2021-10-01 23:50:00,10.0,,,
2021-10-02 11:30:00,2021-10-02 13:00:00,90.0,0.4234,2021-10-02 11:50:00,20.0,,,
2021-10-03 09:00:00,2021-10-03 11:00:00,120.0,0.6181,2021-10-03 09:10:00,10.0,,,
2021-10-04 06:00:00,2021-10-04 07:00:00,60.0,0.4102,2021-10-04 06:10:00,10.0,,,
2021-10-06 14:20:00,2021-10-06 15:30:00,70.0,0.46,2021-10-06 14:30:00,10.0,,,
2021-10-09 07:10:00,2021-10-09 11:50:00,280.0,0.8455,2021-10-09 08:30:00,80.0,,,
2021-10-13 20:10:00,2021-10-13 23:20:00,190.0,2.2594,2021-10-13 20:40:00,30.0,,,
2021-10-15 04:10:00,2021-10-15 14:20:00,610.0,1.1414,2021-10-15 04:50:00,40.0,,,
2021-10-23 14:50:00,2021-10-23 16:50:00,120.0,1.1076,2021-10-23 15:00:00,10.0,,,
2021-11-05 21:30:00,2021-11-05 23:20:00,110.0,0.9212,2021-11-05 21:40:00,10.0,,,
2021-11-10 11:10:00,2021-11-10 12:30:00,80.0,0.3625,2021-11-10 12:00:00,50.0,,,
2021-11-14 13:40:00,2021-11-14 17:30:00,230.0,1.1417,2021-11-14 14:00:00,20.0,,,
2021-11-16 17:00:00,2021-11-16 20:10:00,190.0,0.8386,2021-11-16 17:10:00,10.0,,,
2021-11-17 00:20:00,2021-11-17 02:10:00,110.0,0.8326,2021-11-17 00:30:00,10.0,,,
2021-11-17 15:10:00,2021-11-17 18:20:00,190.0,0.4552,2021-11-17 16:20:00,70.0,,,
2021-11-18 06:20:00,2021-11-18 10:20:00,240.0,0.6321,2021-11-18 06:30:00,10.0,,,
2021-11-25 13:50:00,2021-11-25 19:40:00,350.0,1.7471,2021-11-25 15:20:00,90.0,1.1539,2021-11-25 14:30:00,40.0
2021-11-28 10:40:00,2021-11-28 13:30:00,170.0,1.4385,2021-11-28 11:10:00,30.0,,,
2021-12-12 16:30:00,2021-12-12 18:20:00,110.0,1.0311,2021-12-12 16:40:00,10.0,,,
2021-12-13 07:30:00,2021-12-13 14:40:00,430.0,0.947,2021-12-13 11:20:00,230.0,0.9233,2021-12-13 11:00:00,210.0
2021-12-30 16:00:00,2021-12-30 18:30:00,150.0,1.5705,2021-12-30 16:30:00,30.0,,,
2022-01-03 03:30:00,2022-01-03 04:20:00,50.0,,,,,,
2022-01-03 05:30:00,2022-01-03 07:20:00,110.0,1.023,2022-01-03 05:40:00,10.0,,,
2022-01-03 09:50:00,2022-01-03 14:00:00,250.0,0.669,2022-01-03 11:50:00,120.0,,,
2022-01-09 15:40:00,2022-01-09 16:30:00,50.0,0.3897,2022-01-09 15:50:00,10.0,,,
2022-01-26 18:00:00,2022-01-26 19:50:00,110.0,0.8376,2022-01-26 18:10:00,10.0,,,
2022-01-27 13:30:00,2022-01-27 17:40:00,250.0,1.133,2022-01-27 13:40:00,10.0,,,
2022-02-03 17:00:00,2022-02-03 19:40:00,160.0,1.3038,2022-02-03 17:40:00,40.0,,,
2022-02-04 17:40:00,2022-02-04 21:10:00,210.0,2.4215,2022-02-04 18:00:00,20.0,,,
2022-02-05 00:10:00,2022-02-05 02:40:00,150.0,0.357,2022-02-05 02:00:00,110.0,,,
2022-02-21 14:50:00,2022-02-21 18:10:00,200.0,1.18,2022-02-21 16:00:00,70.0,,,
2022-02-28 17:10:00,2022-03-01 00:20:00,430.0,0.8941,2022-02-28 19:40:00,150.0,,,
2022-03-01 07:40:00,2022-03-01 10:50:00,190.0,0.9242,2022-03-01 08:40:00,60.0,,,
2022-03-02 19:00:00,2022-03-02 21:10:00,130.0,1.1733,2022-03-02 19:10:00,10.0,,,
2022-03-09 22:30:00,2022-03-09 23:40:00,70.0,0.5225,2022-03-09 22:40:00,10.0,,,
2022-03-10 18:40:00,2022-03-10 20:50:00,130.0,0.7175,2022-03-10 19:00:00,20.0,,,
2022-03-10 21:20:00,2022-03-11 01:40:00,260.0,2.521,2022-03-10 22:00:00,40.0,,,
2022-03-11 02:30:00,2022-03-11 07:10:00,280.0,1.2455,2022-03-11 03:50:00,80.0,,,
2022-03-11 11:40:00,2022-03-11 12:30:00,50.0,0.3369,2022-03-11 12:00:00,20.0,,,
2022-03-11 13:50:00,2022-03-11 14:40:00,50.0,0.349,2022-03-11 14:00:00,10.0,,,
2022-03-18 17:20:00,2022-03-18 20:00:00,160.0,1.505,2022-03-18 17:50:00,30.0,,,
2022-03-19 00:20:00,2022-03-19 00:50:00,30.0,,,,,,
2022-03-22 18:10:00,2022-03-22 23:20:00,310.0,3.705,2022-03-22 18:50:00,40.0,,,
2022-03-23 07:00:00,2022-03-23 15:30:00,510.0,3.746,2022-03-23 10:00:00,180.0,1.834,2022-03-23 08:20:00,80.0
2022-03-24 21:30:00,2022-03-25 02:30:00,300.0,1.118,2022-03-24 22:50:00,80.0,1.08,2022-03-24 22:00:00,30.0
2022-03-30 07:40:00,2022-03-30 12:20:00,280.0,2.402,2022-03-30 08:10:00,30.0,,,
2022-04-04 00:30:00,2022-04-04 06:10:00,340.0,2.38,2022-04-04 00:50:00,20.0,,,
2022-04-05 08:40:00,2022-04-05 12:20:00,220.0,1.647,2022-04-05 09:40:00,60.0,,,
2022-04-05 15:40:00,2022-04-05 17:20:00,100.0,0.701,2022-04-05 15:50:00,10.0,,,
2022-04-07 16:00:00,2022-04-07 16:20:00,20.0,,,,,,
2022-04-11 16:10:00,2022-04-11 22:30:00,380.0,3.101,2022-04-11 18:20:00,130.0,1.172,2022-04-11 16:50:00,40.0
2022-04-21 07:40:00,2022-04-21 11:50:00,250.0,3.057,2022-04-21 08:10:00,30.0,,,
2022-04-22 21:30:00,2022-04-22 22:50:00,80.0,,,,,,
2022-04-28 14:20:00,2022-04-28 16:10:00,110.0,0.783,2022-04-28 14:50:00,30.0,,,
2022-04-29 02:20:00,2022-04-29 03:00:00,40.0,,,,,,
2022-08-06 12:30:00,2022-08-06 13:20:00,50.0,0.3638,2022-08-06 12:40:00,10.0,,,
2022-09-19 03:50:00,2022-09-19 05:40:00,110.0,0.7174,2022-09-19 04:00:00,10.0,,,
2022-09-19 06:50:00,2022-09-19 09:20:00,150.0,0.4506,2022-09-19 07:20:00,30.0,,,
2022-09-19 12:00:00,2022-09-19 13:10:00,70.0,0.4778,2022-09-19 12:20:00,20.0,,,
2022-09-30 08:10:00,2022-09-30 13:30:00,320.0,0.8245,2022-09-30 11:10:00,180.0,0.8166,2022-09-30 08:30:00,20.0
2022-10-06 03:50:00,2022-10-06 09:00:00,310.0,1.8486,2022-10-06 04:20:00,30.0,,,
2022-10-10 09:10:00,2022-10-10 14:00:00,290.0,1.6539,2022-10-10 09:40:00,30.0,,,
2022-10-11 08:50:00,2022-10-11 10:50:00,120.0,0.3523,2022-10-11 10:20:00,90.0,,,
2022-10-13 17:40:00,2022-10-13 21:20:00,220.0,0.491,2022-10-13 18:10:00,30.0,,,
2022-10-17 16:00:00,2022-10-17 18:30:00,150.0,0.8353,2022-10-17 16:50:00,50.0,,,
2022-10-19 14:20:00,2022-10-19 15:30:00,70.0,0.4602,2022-10-19 14:30:00,10.0,,,
2022-10-19 16:40:00,2022-10-19 22:20:00,340.0,1.1067,2022-10-19 17:20:00,40.0,,,
2022-10-20 11:30:00,2022-10-20 15:30:00,240.0,0.9808,2022-10-20 12:00:00,30.0,,,
2022-10-26 18:30:00,2022-10-26 22:10:00,220.0,3.0819,2022-10-26 18:50:00,20.0,,,
2022-10-29 18:50:00,2022-10-29 21:40:00,170.0,1.2664,2022-10-29 19:50:00,60.0,,,
2022-10-30 02:40:00,2022-10-30 09:00:00,380.0,2.8836,2022-10-30 03:10:00,30.0,,,
2022-10-30 20:40:00,2022-10-30 22:40:00,120.0,1.362,2022-10-30 20:50:00,10.0,,,
2022-10-31 07:10:00,2022-10-31 09:20:00,130.0,0.5305,2022-10-31 08:20:00,70.0,,,
2022-11-10 14:50:00,2022-11-10 16:40:00,110.0,0.4555,2022-11-10 15:30:00,40.0,,,
2022-11-10 21:00:00,2022-11-10 22:10:00,70.0,0.4648,2022-11-10 21:10:00,10.0,,,
2022-11-13 00:40:00,2022-11-13 06:20:00,340.0,2.2468,2022-11-13 02:30:00,110.0,,,
2022-11-21 01:10:00,2022-11-21 02:50:00,100.0,0.7294,2022-11-21 01:40:00,30.0,,,
2022-11-21 12:20:00,2022-11-21 14:30:00,130.0,0.6127,2022-11-21 13:10:00,50.0,,,
2022-11-30 16:40:00,2022-11-30 18:30:00,110.0,1.0705,2022-11-30 17:10:00,30.0,,,
2022-12-10 17:30:00,2022-12-10 19:00:00,90.0,,,,,,
